tweet_id,hashtag
1647581524479320064,ÚLTIMAHORA
1647579852055216129,ÚLTIMAHORA
1647574986704470016,lawfare
1647573507226697728,lawfare
1647571100367310849,ÚLTIMAHORA
1647566902246473728,ÚLTIMAHORA
1647561900052365326,ÚLTIMAHORA
1647557402709962753,ÚLTIMAHORA
1647555437531738115,ENTREVISTA
1647555437531738115,EleccionsBarcelona2023
1647554379384250369,ÚLTIMAHORA
1647554146373976064,ÚLTIMAHORA
1647553712032718848,28M
1647552254432497664,ÚLTIMAHORA
1647551169890336769,lawfare
1647551169890336769,lawfare
1647550391083515907,ÚLTIMAHORA
1647549883635716096,ÚLTIMAHORA
1647547990314483716,ÚLTIMAHORA
1647547964351471616,ÚLTIMAHORA
1647547461701959682,ÚLTIMAHORA
1647546865557151744,SonMisAmigas
1647546865557151744,SomosFeministas
1647546865557151744,NiUnaMenos
1642922835973742597,Sumar2A
1642920691681964035,IreneMonteroDimision
1642920691681964035,GobiernoCriminalCorruptoyMentiroso
1642920691681964035,GriñanAPrision
1642920691681964035,stopinmigracionilegal
1642919447944912899,ESPAÑA
1642913674363846661,IreneMonteroDimision
1642913674363846661,GobiernoCriminalCorruptoyMentiroso
1642913674363846661,GriñanAPrision
1642913674363846661,stopinmigracionilegal
1645347981577670657,PARERA
1645347981577670657,VALENTS
1645347523492544513,Sumar
1645347523492544513,FelizLunes
1645345852041445377,PARERA
1645345852041445377,VALENTS
1645345683468156928,PARERA
1645345683468156928,VALENTS
1645345630389190661,PARERA
1645345630389190661,VALENTS
1645344519968247808,AMB
1645344519968247808,transportepublico
1645341407383543808,LaPaseata
1645336851086036993,Entrevista
1645335534342905859,Entrevista
1645334999820894208,Entrevista
1645333589922291712,Entrevista
1645319454220328963,Entrevista
1645313225519505408,Entrevista
1645311131978813441,PARERA
1645311131978813441,VALENTS
1645308744341889024,Entrevista
1645285150299701248,Entrevista
1645277874557968384,CampanyaElectotaldelPoble
1645263106937856000,Entrevista
1645258664998043654,Entrevista
1645236321768685574,Entrevista
1645233069224230915,Entrevista
1645180691624099840,Entrevista
1645178882625085441,Entrevista
1645177432670978048,Entrevista
1645177223941373953,Entrevista
1645173059953778688,Opinión
1645169043450544129,Entrevista
1645168559482339328,Entrevista
1645155140570103808,Entrevista
1645154775590223875,Entrevista
1645513948400156675,URGENTE
1645511374162870275,URGENTE
1645506752836763657,URGENTE
1645506459596386305,URGENTE
1645503529262501888,URGENTE
1645498508177444864,URGENTE
1645497899084652549,URGENTE
1645491744044195856,URGENTE
1645489618186387457,URGENTE
1645487186941210626,URGENTE
1645482332772618241,URGENTE
1645558541678419969,URGENTE
1645555764617003015,URGENTE
1645554592137068544,URGENTE
1645553892162252800,URGENTE
1645551056330412041,URGENTE
1645549400914112514,URGENTE
1645546653892370437,URGENTE
1645546056263041025,URGENTE
1645542512352739330,URGENTE
1645541780069265408,URGENTE
1645540182735704064,URGENTE
1645539767919185921,URGENTE
1645538713118621697,URGENTE
1645536529224278017,URGENTE
1645533473929609220,URGENTE
1645531122854510597,ComunismoEsMiseriaHambreYMuerte
1645529627904053254,URGENTE
1645528068285505537,CorrupcioCatalunya
